row_id,predicted_probability,tuned_threshold_prediction,top_drivers,recommended_action
16421,0.00062730,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
11661,0.65465927,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
19393,0.00052208,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
22056,0.65645409,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
515,0.00031437,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
23361,0.00043511,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
18014,0.00035445,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
11482,0.69110637,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.1955),Candidate for promotion - higher score
12727,0.73719127,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
3671,0.00038648,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
16923,0.57001489,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
10166,0.00030752,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | time_on_site_sec (-0.1952),Retention/engagement nudge
14377,0.58013245,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
23504,0.63599007,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
19870,0.00050462,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
8410,0.75229809,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
17870,0.68827583,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
6788,0.63421889,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
22754,0.73980406,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
11506,0.72423635,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
19008,0.63749875,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
4656,0.72941520,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
17460,0.67337735,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
12981,0.00033907,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
1043,0.00050043,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
3744,0.00048453,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
23196,0.71960101,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
9329,0.60127752,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
21822,0.51264841,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | time_on_site_sec (-0.1860),Investigate checkout/discount friction
2034,0.65639448,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
14387,0.00062072,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
19606,0.61239598,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
9652,0.54135524,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
9275,0.00056490,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
13701,0.69333025,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
19499,0.67492735,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.1902),Candidate for promotion - higher score
11868,0.59299249,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
6917,0.72873273,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
22539,0.69665708,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
13581,0.62342559,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
21272,0.71895550,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
10579,0.67201833,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
14140,0.00033269,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
12867,0.66841537,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
20695,0.66485498,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
17936,0.54459090,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
22749,0.00035437,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
16236,0.00046843,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
20889,0.70503030,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
4774,0.70461097,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
191,0.00034321,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
24657,0.00062955,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
23876,0.64258838,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
203,0.61659761,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
22181,0.73375272,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
19958,0.64515426,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
7080,0.60741994,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
20626,0.57167266,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Investigate checkout/discount friction
3810,0.65608150,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
11595,0.69891593,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
104,0.63115833,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
16853,0.00050440,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
24001,0.00064589,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
17958,0.66275232,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
22533,0.70771750,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
11563,0.61325028,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
22002,0.69930094,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
6746,0.00049672,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
16286,0.60797552,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
1848,0.70194285,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
4341,0.71986553,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
3403,0.70100500,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
20269,0.00038018,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
19868,0.58227914,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
11746,0.00049376,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
18138,0.00041313,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Retention/engagement nudge
8517,0.57631148,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
12009,0.60199341,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
6053,0.62489165,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
3416,0.57199344,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
21602,0.54589331,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Investigate checkout/discount friction
22867,0.66639651,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | time_on_site_sec (-0.1929),Candidate for promotion - threshold-qualified
2931,0.59108580,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
14369,0.65848572,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
20436,0.00030069,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
3115,0.67869167,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
23926,0.00040936,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
14799,0.56968300,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
10029,0.58079336,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
16428,0.51898613,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
11123,0.62385852,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
20375,0.00027852,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | time_on_site_sec (-0.1965),Retention/engagement nudge
14706,0.63780939,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
18914,0.00036802,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
22041,0.72259472,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
15604,0.00064118,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
19013,0.56008665,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | time_on_site_sec (-0.1885),Investigate checkout/discount friction
2335,0.72729026,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
23679,0.00033094,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
19112,0.00038257,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
14779,0.00038668,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
17724,0.00034099,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Retention/engagement nudge
7670,0.70374740,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
2673,0.69941796,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
17582,0.71957967,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
5421,0.63934984,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
843,0.74481998,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
21141,0.52777152,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
1960,0.00067186,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
11710,0.70971489,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
12220,0.00029379,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
19178,0.59484594,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
5062,0.58420997,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
15437,0.00057839,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Retention/engagement nudge
17281,0.66641482,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - threshold-qualified
7236,0.55160725,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
17279,0.67392712,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
8875,0.54481058,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
12253,0.00071507,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
10502,0.55062086,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
5621,0.63525994,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
11293,0.69169998,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
10368,0.00059158,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
22799,0.00043729,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
5769,0.70442105,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
1906,0.64865882,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
7444,0.00043327,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
18063,0.68004051,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
13999,0.56332537,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
13067,0.00034330,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
21855,0.64846806,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
12755,0.56226438,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
16139,0.69853252,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
13009,0.00050355,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
13872,0.53367714,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
19238,0.00036635,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
13891,0.67148847,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
15873,0.66752174,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
18494,0.68470176,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
20850,0.00058642,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
2801,0.52091737,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Investigate checkout/discount friction
15813,0.52739064,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Investigate checkout/discount friction
2826,0.00068902,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
7061,0.00038840,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Retention/engagement nudge
3625,0.55939237,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
3507,0.71296977,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
5953,0.00041466,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Retention/engagement nudge
18958,0.64244677,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
22049,0.00032459,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
20309,0.63535504,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
14584,0.00067089,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
8876,0.58955045,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
14316,0.56970655,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Investigate checkout/discount friction
15895,0.00064338,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
24745,0.61433584,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
2617,0.59670910,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
22545,0.68735250,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
5896,0.00030923,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
4959,0.00028044,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
20627,0.00053527,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
24065,0.67423312,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
2852,0.00034064,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
4818,0.00068692,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
10547,0.62082219,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
15364,0.68989110,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
13902,0.58681705,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
24394,0.00033630,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
18046,0.00028564,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | time_on_site_sec (-0.2020),Retention/engagement nudge
2752,0.55458236,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Investigate checkout/discount friction
18075,0.72725717,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
9405,0.73951532,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
2499,0.00039989,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
1644,0.00050788,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
11978,0.00064256,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
7000,0.00060259,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
15132,0.71053533,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
10710,0.68734182,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
11335,0.71791535,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
14295,0.69948964,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - higher score
12147,0.56213885,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
2439,0.72486891,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
1423,0.00029544,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
4837,0.66640630,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
19313,0.67767716,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - higher score
4791,0.69436693,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - higher score
19634,0.70393510,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
9552,0.00052657,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
3129,0.73557350,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
4749,0.00034343,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_2 (-0.2368),Retention/engagement nudge
23047,0.66921791,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
18373,0.63446603,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
3143,0.54623640,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
20147,0.59814701,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
2164,0.00035747,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Retention/engagement nudge
8010,0.00054302,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Retention/engagement nudge
22934,0.67807232,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
661,0.00068458,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Retention/engagement nudge
19684,0.57877555,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
20529,0.64962580,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
5720,0.00051472,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
23480,0.00047861,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Retention/engagement nudge
2545,0.67252629,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_2 (-0.2368),Candidate for promotion - threshold-qualified
13232,0.65967518,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_1 (-0.1783),Candidate for promotion - threshold-qualified
18770,0.69170130,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
21711,0.75882390,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
23849,0.59014242,1,added_to_cart (+3.3972) | user_type_0 (-0.3160) | device_type_0 (-0.1811),Candidate for promotion - threshold-qualified
11315,0.53212274,0,added_to_cart (+3.3972) | user_type_0 (-0.3160) | visit_season_0 (-0.1830),Investigate checkout/discount friction
19841,0.69253766,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_1 (-0.1768),Candidate for promotion - higher score
21311,0.00064866,0,added_to_cart (-4.8886) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Retention/engagement nudge
18586,0.00026921,0,added_to_cart (-4.8886) | user_type_0 (-0.3160) | device_type_1 (-0.1768),Retention/engagement nudge
12994,0.66749883,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | visit_season_0 (-0.1830),Candidate for promotion - threshold-qualified
14410,0.68670341,1,added_to_cart (+3.3972) | user_type_0 (+0.3862) | device_type_0 (-0.1811),Candidate for promotion - higher score
